
SubCount,AvgViews,AvgLikes,AvgDislikes,LastViews,LastLikes,LastDislikes,ViewCount
47824405,235923,4283,416,372898,4874,437,15557417
47824405,4066296,132719,8291,15557417,518025,31915,546695
47824405,3362376,108951,6775,546695,13879,711,14488861
47824405,5216790,126363,9480,14488861,213426,23008,137652
47824405,4491199,108743,8157,137652,3021,214,113893
47824405,3944036,95406,7166,113893,2048,229,115847
47824405,3518681,85148,6400,115847,3082,276,176156
47824405,3184429,76956,5791,176156,3229,308,226203
47824405,2915499,70917,5299,226203,10528,381,124373
47824405,2682905,65148,4883,124373,1691,308,84822
47824405,2483053,60325,4516,84822,2444,111,237622
47824405,2322665,56335,4221,237622,4467,384,216962
47824405,2182285,52848,3960,216962,4026,306,540521
47824405,2079675,50438,3763,540521,14292,814,265670
47824405,1972968,47836,3564,265670,6206,372,573183
47824405,1895203,45963,3401,573183,14127,628,311840
47824405,1811868,43803,3252,311840,4920,572,161286
47824405,1729339,41755,3104,161286,2837,302,294013
47824405,1660990,40090,2992,294013,6803,744,16179244
47824405,2320910,52062,3410,16179244,303463,12191,981872
47824405,2262691,50356,3310,981872,12818,1109,199136
47824405,2176710,48349,3188,199136,2202,386,156745
47824405,2095911,46519,3076,156745,2583,372,538545
47824405,2036013,45201,2993,538545,12272,931,97117
47824405,1964202,43570,2887,97117,1158,124,133158
47824405,1898807,42062,2796,133158,1333,346,95515
47824405,1836625,40663,2709,95515,1501,276,92899
47824405,1778501,39355,2628,92899,1419,265,26049
47824405,1721970,38092,2545,26049,208,64,122136
47824405,1671975,36993,2473,122136,2916,249,152349
47824405,1625926,35967,2418,152349,3136,648,67056
47824405,1580077,34939,2351,67056,1010,129,97109
47824405,1537706,33970,2293,97109,1017,324,241346
47824405,1501696,33158,2238,241346,4743,306,6893574
47824405,1647423,33433,2224,6893574,43340,1740,450078
47824405,1615913,32694,2184,450078,5339,710,94376
47824405,1576900,31892,2135,94376,1413,267,86474
47824405,1539639,31126,2089,86474,1274,290,81352
47824405,1504071,30387,2041,81352,805,125,48837
47824405,1469423,29678,1994,48837,609,75,117046
47824405,1437972,29042,1956,117046,2357,331,2235556
47824405,1456099,28669,1936,2235556,12604,1107,1125271
47824405,1448747,28256,1903,1125271,10094,458,63455
47824405,1418632,27665,1866,63455,1083,176,3129875
47824405,1455042,27545,1852,3129875,21997,1214,150673
47824405,1427867,27011,1820,150673,1955,308,7117368
47824405,1543979,28836,1895,7117368,116435,5522,64495
47824405,1514390,28275,1860,64495,768,104,32861
39304299,150571,9154,330,301141,18307,659,138314
39304299,146485,9503,295,138314,10201,227,1753324
39304299,548195,29852,480,1753324,90901,1032,2728661
39304299,984288,46584,713,2728661,113512,1649,979716
39304299,983526,46487,645,979716,46003,302,486810
39304299,912567,44575,571,486810,33099,125,441632
39304299,853700,44601,516,441632,44783,136,227080
39304299,784075,42057,480,227080,21707,188,712541
39304299,776922,41327,460,712541,34756,284,508741
39304299,752542,40394,441,508741,31063,248,3455709
39304299,977806,45002,485,3455709,95690,974,2220207
39304299,1073375,48163,559,2220207,86094,1448,1592981
39304299,1110490,49686,586,1592981,69489,931,12928975
39304299,1898389,64724,699,12928975,275255,2281,462857
39304299,1808668,62249,664,462857,25123,140,454104
39304299,1728988,60533,637,454104,33080,197,128378
39304299,1640065,57963,606,128378,14274,91,12733524
39304299,2223931,69145,907,12733524,270410,6321,1094307
39304299,2167450,67594,905,1094307,38131,859,733364
39304299,2099160,65833,885,733364,30606,491,2163642
39304299,2102091,65643,890,2163642,61670,1002,1309785
39304299,2067643,65398,884,1309785,59994,747,722612
39304299,2011600,64463,857,722612,42967,235,727205
39304299,1960224,63533,832,727205,41214,239,1790593
39304299,1953700,63668,847,1790593,67031,1206,880796
39304299,1913963,63358,828,880796,55295,344,1463537
39304299,1897876,63399,816,1463537,64515,479,1651714
39304299,1889388,64470,830,1651714,94447,1222,1028552
39304299,1860693,63879,810,1028552,46745,256,1598581
39304299,1852238,63897,803,1598581,64431,571,2025779
39304299,1857661,65041,817,2025779,100509,1250,1614973
39304299,1850307,64938,807,1614973,61643,491,3559340
39304299,1900573,65815,837,3559340,94750,1847,9807734
