SubCount,Category,AvgViews,AvgViewsRounded,AvgLikes,AvgLikesRounded,AvgDislikes,AvgDislikesRounded,LastViews,LastViewsRounded,LastLikes,LastLikesRounded,LastDislikes,LastDislikesRounded,LastComments,LikeCount,LikeCountRounded,LikedOrDisliked,ViewCount,ViewCountRounded
33908241,24,32881318,32900000,1127057,1127000,20718,20500,20684180,20700000,951227,951000,11366,11500,146085,978236,978000,Liked,31017543,3101750000
33908241,22,32838959,32850000,1123674,1123500,20537,20500,31017543,31000000,978236,978000,12754,13000,87545,354747,354500,Disliked,7096762,709700000
33908241,24,32266910,32250000,1106587,1106500,20264,20500,7096762,7100000,354747,354500,8285,8500,32383,1219526,1219500,Liked,31328192,3132800000
33908241,24,32246503,32250000,1109042,1109000,20341,20500,31328192,31350000,1219526,1219500,23815,24000,150214,1010957,1011000,Liked,27118825,2711900000
33908241,24,32137404,32150000,1106955,1107000,20293,20500,27118825,27100000,1010957,1011000,18085,18000,90227,688835,689000,Liked,22948518,2294850000
33908241,24,31945969,31950000,1098245,1098000,20131,20000,22948518,22950000,688835,689000,12485,12500,162247,1132032,1132000,Liked,45637149,4563700000
33908241,24,32225381,32250000,1098934,1099000,20106,20000,45637149,45650000,1132032,1132000,18910,19000,105047,1206657,1206500,Liked,33017226,3301700000
33908241,24,32241217,32250000,1101089,1101000,20101,20000,33017226,33000000,1206657,1206500,19856,20000,126790,679467,679500,Disliked,20542548,2054250000
34511052,10,8048,0,7399,7500,125,0,16095,0,14797,15000,250,500,1717,170730,170500,Liked,1334193,133400000
34511052,10,450096,450000,61842,62000,834,1000,1334193,1350000,170730,170500,2253,2500,7166,17087,17000,Disliked,227867,22800000
34511052,10,394539,400000,50654,50500,1160,1000,227867,250000,17087,17000,2138,2000,1032,174318,174500,Liked,2132405,213250000
34511052,10,742112,750000,75386,75500,1521,1500,2132405,2150000,174318,174500,2963,3000,4209,123833,124000,Disliked,2276293,227650000
34511052,10,997809,1000000,83461,83500,1716,1500,2276293,2300000,123833,124000,2694,2500,2724,45795,46000,Disliked,2868581,286850000
34511052,10,1265062,1250000,78080,78000,1806,2000,2868581,2850000,45795,46000,2344,2500,1993,149363,149500,Disliked,3320117,332000000
34511052,10,1521944,1500000,86990,87000,1983,2000,3320117,3300000,149363,149500,3224,3000,3095,51566,51500,Disliked,3597810,359800000
34511052,10,1752596,1750000,83054,83000,2001,2000,3597810,3600000,51566,51500,2146,2000,2671,26838,27000,Disliked,807465,80750000
34511052,10,1658083,1650000,77433,77500,2022,2000,807465,800000,26838,27000,2203,2000,826,90244,90000,Disliked,2004770,200500000
34511052,10,1689600,1700000,78597,78500,2132,2000,2004770,2000000,90244,90000,3233,3000,3335,42871,43000,Disliked,962017,96200000
34511052,10,1628968,1650000,75620,75500,2110,2000,962017,950000,42871,43000,1873,2000,1313,41503,41500,Disliked,1029265,102950000
34511052,10,1582837,1600000,72996,73000,2241,2000,1029265,1050000,41503,41500,3810,4000,1883,29535,29500,Disliked,502439,50250000
34511052,10,1505666,1500000,69891,70000,2218,2000,502439,500000,29535,29500,1922,2000,1190,91569,91500,Disliked,2364688,236450000
34511052,10,1562934,1550000,71337,71500,2357,2500,2364688,2350000,91569,91500,4295,4500,2055,28644,28500,Disliked,508358,50850000
34511052,10,1497023,1500000,68668,68500,2537,2500,508358,500000,28644,28500,5250,5500,1794,48927,49000,Disliked,1059516,105950000
34511052,10,1471287,1450000,67507,67500,2513,2500,1059516,1050000,48927,49000,2121,2000,1449,16498,16500,Disliked,300069,30000000
34511052,10,1406219,1400000,64673,64500,2830,3000,300069,300000,16498,16500,8217,8000,1547,36210,36000,Disliked,648044,64800000
34511052,10,1366315,1350000,63175,63000,2761,3000,648044,650000,36210,36000,1518,1500,1432,112438,112500,Disliked,2944679,294450000
34511052,10,1445234,1450000,65638,65500,2788,3000,2944679,2950000,112438,112500,3298,3500,3348,493335,493500,Disliked,11468780,1146900000
34511052,10,1922545,1900000,86005,86000,4397,4500,11468780,11450000,493335,493500,36592,36500,19270,445268,445500,Liked,13696862,1369700000
34511052,10,2457742,2450000,102335,102500,4569,4500,13696862,13700000,445268,445500,8183,8000,9738,65481,65500,Disliked,1521444,152150000
34511052,10,2417033,2400000,100733,100500,4524,4500,1521444,1500000,65481,65500,3519,3500,1960,288707,288500,Disliked,10492374,1049250000
34511052,10,2753505,2750000,108565,108500,4717,4500,10492374,10500000,288707,288500,9155,9000,11184,76312,76500,Disliked,2181623,218150000
34511052,10,2730630,2750000,107275,107500,4627,4500,2181623,2200000,76312,76500,2480,2500,2507,112878,113000,Disliked,2809966,281000000
34511052,10,2733682,2750000,107490,107500,4842,5000,2809966,2800000,112878,113000,10217,10000,6335,38844,39000,Disliked,708015,70800000
34511052,10,2658657,2650000,104948,105000,4764,5000,708015,700000,38844,39000,2718,2500,1587,195225,195000,Disliked,4697050,469700000
34511052,10,2731457,2750000,108172,108000,4739,4500,4697050,4700000,195225,195000,4084,4000,5104,124669,124500,Disliked,3261576,326150000
34511052,10,2749737,2750000,108741,108500,4729,4500,3261576,3250000,124669,124500,4438,4500,2838,31168,31000,Disliked,630163,63000000
34511052,10,2679084,2700000,106155,106000,4630,4500,630163,650000,31168,31000,1752,2000,1084,37344,37500,Disliked,640874,64100000
34511052,10,2613335,2600000,103935,104000,4543,4500,640874,650000,37344,37500,1954,2000,2013,65350,65500,Disliked,1492517,149250000
34511052,10,2578310,2600000,102730,102500,4601,4500,1492517,1500000,65350,65500,6395,6500,2759,100376,100500,Disliked,3894227,389400000
