SubCount,Category,LikeCount,LikeCountRounded,LikedOrDisliked,ViewCount,ViewCountRounded
39333756,24,38136,38000,Disliked,1094438,109450000
39333756,24,30606,30500,Liked,733451,73350000
39333756,24,61680,61500,Liked,2163908,216400000
39333756,24,59999,60000,Liked,1310001,131000000
39333756,24,42968,43000,Liked,722669,72250000
39333756,24,41218,41000,Liked,727238,72700000
39333756,24,67037,67000,Liked,1790674,179050000
39333756,24,55294,55500,Liked,880821,88100000
39333756,24,64527,64500,Liked,1463830,146400000
39333756,29,94451,94500,Liked,1651791,165200000
39333756,24,46745,46500,Liked,1028595,102850000
39333756,24,64432,64500,Liked,1598660,159850000
39333756,24,100538,100500,Liked,2026743,202650000
39333756,24,61643,61500,Liked,1615001,161500000
39333756,24,94753,95000,Liked,3559444,355950000
39333756,24,214268,214500,Disliked,9810547,981050000
39333756,24,50415,50500,Disliked,2841742,284150000
39333756,10,55282,55500,Disliked,3647371,364750000
39333756,24,19694,19500,Liked,564018,56400000
39333756,24,60566,60500,Disliked,3785999,378600000
39333756,24,9003,9000,Disliked,419553,41950000
39333756,10,12743,12500,Disliked,677396,67750000
39333756,10,33287,33500,Liked,1454375,145450000
39333756,10,27033,27000,Liked,956976,95700000
39333756,10,23492,23500,Disliked,1420934,142100000
39333756,10,24874,25000,Liked,1036660,103650000
39333756,10,53446,53500,Liked,2561064,256100000
39333756,10,32179,32000,Liked,1523053,152300000
39333756,10,62300,62500,Disliked,2306137,230600000
39333756,10,21484,21500,Disliked,1366713,136650000
39333756,10,38900,39000,Disliked,2408314,240850000
39333756,10,24465,24500,Disliked,2650763,265100000
34477877,10,1078211,1078000,Disliked,67892889,6789300000
34477877,10,3706831,3707000,Disliked,474388700,47438850000
34477877,10,252180,252000,Disliked,9812780,981300000
34477877,10,763747,763500,Disliked,46717170,4671700000
34477877,10,279394,279500,Disliked,21257221,2125700000
34477877,10,580040,580000,Disliked,52190809,5219100000
34477877,10,405474,405500,Disliked,30111213,3011100000
34477877,10,420227,420000,Disliked,42441795,4244200000
34477877,10,671295,671500,Disliked,75257262,7525750000
34477877,10,246162,246000,Liked,9068472,906850000
34477877,10,294843,295000,Liked,23264757,2326500000
34477877,10,369925,370000,Disliked,35680236,3568000000
34477877,10,5544669,5544500,Disliked,1352418924,1.35E+11
34477877,10,311847,312000,Disliked,19839560,1983950000
34477877,10,421031,421000,Disliked,35583790,3558400000
34477877,10,463769,464000,Disliked,50334947,5033500000
34477877,10,594514,594500,Disliked,52361333,5236150000
34477877,10,1079977,1080000,Disliked,108151873,10815200000
34477877,10,579462,579500,Disliked,64414830,6441500000
34477877,10,1091853,1092000,Disliked,116570348,11657050000
34477877,10,2678189,2678000,Disliked,413195988,41319600000
34477877,10,1949749,1949500,Disliked,281639749,28163950000
34477877,10,10290828,10291000,Disliked,2943233871,2.94E+11
34477877,10,42942,43000,Disliked,1109733,110950000
34477877,10,6918302,6918500,Disliked,1909815147,1.91E+11
34477877,10,1501519,1501500,Disliked,165044630,16504450000
34477877,10,1959520,1959500,Disliked,253216801,25321700000
34477877,10,160639,160500,Disliked,9459454,945950000
34477877,10,410151,410000,Disliked,48138373,4813850000
34477877,10,84116,84000,Disliked,3860891,386100000
34477877,10,1571042,1571000,Disliked,192730893,19273100000
34477877,10,78591,78500,Disliked,6959628,695950000
34477877,10,61944,62000,Disliked,3381014,338100000
34477877,10,224783,225000,Disliked,19875837,1987600000
34477877,10,160920,161000,Disliked,10531795,1053200000
34477877,10,83331,83500,Disliked,3749084,374900000
34477877,10,159123,159000,Disliked,11871035,1187100000
34477877,10,78393,78500,Disliked,3038330,303850000
34477877,10,209185,209000,Disliked,16291544,1629150000
34477877,10,238997,239000,Disliked,15688618,1568850000
34477877,10,216815,217000,Disliked,19627833,1962800000
34477877,10,115126,115000,Disliked,5907770,590800000
34477877,10,283779,284000,Disliked,28256919,2825700000
34477877,10,358578,358500,Disliked,31209527,3120950000
34477877,10,448452,448500,Disliked,46714029,4671400000
34477877,10,635941,636000,Disliked,71652869,7165300000
34477877,10,184957,185000,Disliked,14917180,1491700000
34477877,10,79670,79500,Disliked,6534052,653400000
34477877,10,83222,83000,Disliked,8047830,804800000
33908241,24,1555187,1555000,Disliked,26814964,2681500000
33908241,24,1320188,1320000,Disliked,28945976,2894600000
33908241,24,1264018,1264000,Disliked,31327775,3132800000
33908241,24,1051858,1052000,Disliked,28582910,2858300000
33908241,24,1727343,1727500,Liked,57160393,5716050000
33908241,24,961547,961500,Liked,26088770,2608900000
33908241,24,1448617,1448500,Liked,46923763,4692400000
33908241,24,1162441,1162500,Liked,31574736,3157450000
33908241,24,1263784,1264000,Liked,50165512,5016550000
33908241,24,874076,874000,Liked,29296962,2929700000
33908241,24,866084,866000,Disliked,32351040,3235100000
33908241,24,844420,844500,Liked,24254066,2425400000
33908241,24,1028476,1028500,Liked,29826432,2982650000
33908241,24,871702,871500,Disliked,24994551,2499450000
33908241,24,1451686,1451500,Disliked,49669375,4966950000
33908241,24,631232,631000,Liked,15812317,1581250000
33908241,24,2166914,2167000,Disliked,34432183,3443200000
33908241,24,937599,937500,Liked,33633233,3363300000
33908241,24,1038627,1038500,Liked,35952215,3595200000
33908241,24,995144,995000,Liked,29376735,2937650000
33908241,24,1522472,1522500,Liked,59298230,5929800000
33908241,24,914332,914500,Liked,34119719,3411950000
33908241,24,1454433,1454500,Liked,36741964,3674200000
33908241,24,635193,635000,Disliked,11237160,1123700000
33908241,24,454175,454000,Disliked,17763993,1776400000
33908241,24,2642146,2642000,Disliked,45194602,4519450000
33908241,24,784202,784000,Liked,24529166,2452900000
33908241,24,689206,689000,Liked,20386611,2038650000
33908241,24,916072,916000,Liked,36812955,3681300000
33908241,24,819900,820000,Disliked,31588959,3158900000
33908241,24,792209,792000,Liked,21524492,2152450000
33908241,24,1662004,1662000,Liked,36826341,3682650000
33908241,24,892886,893000,Liked,14557900,1455800000
33908241,24,1054325,1054500,Liked,45607186,4560700000
33908241,24,1224516,1224500,Liked,47108108,4710800000
33908241,24,1195498,1195500,Liked,35839105,3583900000
33908241,24,665647,665500,Liked,22901627,2290150000
33908241,24,1545810,1546000,Liked,61695518,6169550000
33908241,24,1537278,1537500,Liked,47631001,4763100000
33908241,24,1314732,1314500,Liked,39853081,3985300000
33908241,24,951227,951000,Liked,20684180,2068400000
33908241,24,978236,978000,Liked,31017543,3101750000
33908241,22,354747,354500,Disliked,7096762,709700000
33908241,24,1219526,1219500,Liked,31328192,3132800000
33908241,24,1010957,1011000,Liked,27118825,2711900000
33908241,24,688835,689000,Liked,22948518,2294850000
33908241,24,1132032,1132000,Liked,45637149,4563700000
33908241,24,1206657,1206500,Liked,33017226,3301700000
33908241,24,679467,679500,Disliked,20542548,2054250000
34511052,10,170730,170500,Liked,1334193,133400000
34511052,10,17087,17000,Disliked,227867,22800000
34511052,10,174318,174500,Liked,2132405,213250000
34511052,10,123833,124000,Disliked,2276293,227650000
34511052,10,45795,46000,Disliked,2868581,286850000
34511052,10,149363,149500,Disliked,3320117,332000000
34511052,10,51566,51500,Disliked,3597810,359800000
34511052,10,26838,27000,Disliked,807465,80750000
34511052,10,90244,90000,Disliked,2004770,200500000
34511052,10,42871,43000,Disliked,962017,96200000
34511052,10,41503,41500,Disliked,1029265,102950000
34511052,10,29535,29500,Disliked,502439,50250000
34511052,10,91569,91500,Disliked,2364688,236450000
34511052,10,28644,28500,Disliked,508358,50850000
34511052,10,48927,49000,Disliked,1059516,105950000
34511052,10,16498,16500,Disliked,300069,30000000
34511052,10,36210,36000,Disliked,648044,64800000
34511052,10,112438,112500,Disliked,2944679,294450000
34511052,10,493335,493500,Disliked,11468780,1146900000
34511052,10,445268,445500,Liked,13696862,1369700000
34511052,10,65481,65500,Disliked,1521444,152150000
34511052,10,288707,288500,Disliked,10492374,1049250000
34511052,10,76312,76500,Disliked,2181623,218150000
34511052,10,112878,113000,Disliked,2809966,281000000
34511052,10,38844,39000,Disliked,708015,70800000
34511052,10,195225,195000,Disliked,4697050,469700000
34511052,10,124669,124500,Disliked,3261576,326150000
34511052,10,31168,31000,Disliked,630163,63000000
34511052,10,37344,37500,Disliked,640874,64100000
34511052,10,65350,65500,Disliked,1492517,149250000
34511052,10,100376,100500,Disliked,3894227,389400000
34511052,10,456803,457000,Disliked,11339479,1133950000
34511052,10,101907,102000,Disliked,2387032,238700000
34511052,10,125151,125000,Disliked,2675120,267500000
34511052,10,1167779,1168000,Disliked,49976794,4997700000
34511052,10,1336238,1336000,Disliked,97453121,9745300000
34511052,10,52954,53000,Disliked,1388809,138900000
34511052,10,24015,24000,Disliked,459342,45950000
34511052,10,234439,234500,Liked,4883557,488350000
34511052,10,27819,28000,Disliked,482400,48250000
34511052,10,148619,148500,Disliked,3159491,315950000
34511052,10,127979,128000,Disliked,1771629,177150000
34511052,10,54346,54500,Disliked,939460,93950000
34511052,10,1014059,1014000,Disliked,31685284,3168550000
34511052,10,79970,80000,Disliked,2443442,244350000
34511052,10,51160,51000,Disliked,1215801,121600000
34511052,10,36474,36500,Disliked,677557,67750000
34511052,10,533459,533500,Disliked,22824637,2282450000
34511052,10,533691,533500,Disliked,14283651,1428350000
31606619,10,50008,50000,Liked,701611,70150000
